"route_id","lon","lat","split","wc2.1_10m_bio_2","wc2.1_10m_bio_3","wc2.1_10m_bio_5","wc2.1_10m_bio_8","wc2.1_10m_bio_9","wc2.1_10m_bio_13","wc2.1_10m_bio_15","wc2.1_10m_bio_18","y"
"6340470",-111.4102,49.87324,"evaluation_excluded",13.2072916030884,31.4605388641357,26.2142505645752,15.7226247787476,-8.05279159545898,63,51.7136878967285,131,0
"6340471",-112.39699,49.08995,"training",13.9562082290649,34.8321762084961,26.8577499389648,14.9688329696655,-5.70304155349731,92,71.5048217773438,179,0
"6340472",-113.56982,49.81509,"training",13.1664161682129,34.0505638122559,25.1625003814697,14.3595418930054,-5.9207501411438,92,58.6782875061035,186,0
"6340473",-110.25869,50.74668,"evaluation_excluded",13.4164171218872,29.7166900634766,26.4955005645752,15.4903755187988,-8.45341682434082,66,66.5558776855469,150,0
"6340474",-111.84916,50.56388,"evaluation_excluded",13.4918127059937,31.1544227600098,25.7647495269775,15.0643329620361,-9.90200042724609,66,55.7730903625488,141,0
"6340475",-113.02852,50.60147,"evaluation_excluded",13.0298128128052,32.4485893249512,23.7569999694824,13.6077499389648,-8.470458984375,78,61.6920738220215,178,0
"6340476",-114.42456,50.48053,"evaluation_excluded",13.0721874237061,35.784797668457,21.4330005645752,6.6428337097168,-7.54070854187012,99,40.4608573913574,222,0
"6340477",-112.64694,51.77818,"testing",13.1427707672119,30.7366714477539,24.0522499084473,15.7492084503174,-10.9621248245239,71,65.3446197509766,188,0
"6340478",-113.77234,51.21261,"evaluation_excluded",12.9970417022705,33.1823844909668,23.0287494659424,15.1174163818359,-8.6855001449585,80,68.6849975585938,201,0
"6340479",-116.22023,51.46021,"training",12.5218954086304,33.882568359375,16.8762493133545,8.42300033569336,-6.67766666412354,88,18.9045314788818,258,0
"6340480",-110.65127,52.46309,"testing",12.4135627746582,27.7328319549561,24.0785007476807,16.1591243743896,-11.4744167327881,74,66.8998260498047,197,1
"6340481",-111.07638,52.20111,"testing",12.578311920166,28.0965023040771,24.1005001068115,16.0850410461426,-4.20825004577637,77,64.6275024414062,202,0
"6340482",-114.47782,52.02799,"evaluation_excluded",12.8401250839233,32.3622436523438,21.785249710083,14.3655834197998,-10.3157501220703,95,69.4630584716797,255,0
"6340483",-116.39168,52.25872,"training",12.816312789917,34.6234741210938,18.9120006561279,10.6906661987305,-9.77191638946533,90,43.9726333618164,261,0
"6340484",-110.86644,53.49666,"testing",12.3901453018188,27.7566356658936,23.160249710083,15.7653331756592,-11.8588752746582,75,67.3538284301758,207,0
"6340485",-111.52556,53.71555,"testing",12.2415208816528,27.9927768707275,22.8299999237061,15.4557914733887,-11.0740833282471,80,64.2476806640625,215,0
"6340486",-112.78208,53.33769,"testing",11.3935213088989,28.0715007781982,21.5470008850098,14.850583076477,-11.9466667175293,95,66.438591003418,234,0
"6340487",-113.88548,53.68701,"evaluation_excluded",11.4126672744751,27.9272174835205,21.9597492218018,15.1098337173462,-9.64145851135254,90,66.3371505737305,242,0
"6340488",-114.22008,53.16381,"evaluation_excluded",12.0029373168945,30.841609954834,21.4079990386963,14.354832649231,-9.94149971008301,103,65.5095825195312,265,0
"6340489",-117.71063,53.3741,"training",13.1175212860107,35.853199005127,20.6625003814697,12.695125579834,-8.43591690063477,95,58.4752044677734,264,0
"6340491",-110.8863,54.0577,"evaluation_excluded",12.0271663665771,26.9964008331299,22.7017498016357,15.3010835647583,-11.6867084503174,80,63.370044708252,211,0
"6340492",-111.2782,54.26763,"evaluation_excluded",12.2487297058105,27.6321926116943,22.6935005187988,15.2763748168945,-11.6665420532227,86,63.6655540466309,225,0
"6340493",-114.71491,54.12038,"evaluation_excluded",13.3564376831055,30.3407135009766,22.5797500610352,15.045916557312,-4.21258354187012,95,70.6565551757812,253,0
"6340494",-116.21592,54.13311,"training",12.4595832824707,32.5022735595703,20.5377502441406,13.3811664581299,-3.28612494468689,109,67.1188430786133,289,1
"6340495",-118.22621,54.75011,"training",11.7700204849243,30.7823619842529,21.3032493591309,14.1345415115356,-2.42266654968262,82,49.6397857666016,239,1
"6340496",-113.44,55.486,"training",12.0624170303345,27.1905708312988,21.1219997406006,14.2339582443237,-5.85949993133545,102,68.7306900024414,252,0
"6340497",-114.91416,55.49903,"training",10.9286870956421,26.5827178955078,20.955249786377,14.5464992523193,-4.81516647338867,91,65.5004425048828,244,1
"6340498",-119.21774,55.1415,"training",11.1488542556763,28.0301551818848,22.0922508239746,14.8629169464111,-2.95287489891052,79,49.967903137207,224,0
"6340499",-117.82119,56.27611,"training",11.850396156311,27.2296123504639,21.8652496337891,14.4152908325195,-5.91750001907349,72,50.9973258972168,197,1
"6340500",-111.83849,59.98857,"training",11.4587087631226,22.1305656433105,22.8330001831055,14.8492918014526,-11.1203336715698,57,52.7488403320312,162,0
"6340502",-111.61484,59.86175,"training",11.0053958892822,21.4247188568115,22.53125,14.9143753051758,-11.2449579238892,58,51.5570945739746,159,0
"6340503",-115.07526,50.98545,"evaluation_excluded",12.3526458740234,35.1054611206055,18.5527496337891,7.60866689682007,-9.50125026702881,95,35.116626739502,231,0
"6340504",-114.04528,49.0201,"training",10.7210206985474,31.5134124755859,19.3082504272461,3.58225011825562,-8.75345802307129,105,22.6053810119629,219,0
"6340505",-111.11275,50.92139,"evaluation_excluded",13.647500038147,30.9600505828857,26.6047496795654,15.5213747024536,-10.2626667022705,65,67.0640869140625,150,0
"6340506",-112.02041,50.30279,"evaluation_excluded",13.4746246337891,31.9442043304443,25.8465003967285,15.3813743591309,-8.62529182434082,65,53.9304847717285,138,0
"6340507",-113.82728,50.42635,"evaluation_excluded",13.4949789047241,34.0193824768066,23.701000213623,13.4305410385132,-7.70266675949097,94,64.5166015625,197,0
"6340508",-114.09345,50.54263,"evaluation_excluded",13.6730623245239,35.3542060852051,23.0154991149902,12.4401254653931,-7.64300012588501,100,61.2765998840332,213,0
"6340509",-110.38028,51.44533,"testing",13.4073123931885,28.5149726867676,25.2145004272461,16.6816253662109,-11.1442079544067,71,72.0904998779297,163,0
"6340510",-111.20079,51.57551,"testing",13.7408542633057,29.3438701629639,25.4947490692139,16.641040802002,-10.746000289917,62,71.2338638305664,166,0
"6340511",-112.131154,51.9391041,"testing",12.4087085723877,29.1029758453369,23.9212493896484,15.8308334350586,-11.3221664428711,70,64.8401718139648,187,0
"6340512",-113.896231,51.5785059,"evaluation_excluded",12.7702083587646,32.7078514099121,22.394250869751,14.8492088317871,-9.26525020599365,81,68.2910842895508,214,0
"6340513",-114.21268,51.54794,"evaluation_excluded",13.0551872253418,33.5811805725098,21.8727493286133,14.2550830841064,-9.180832862854,89,70.6411514282227,232,0
"6340514",-115.40694,51.66166,"evaluation_excluded",13.3433752059937,37.2509269714355,18.4650001525879,10.261625289917,-9.31279182434082,88,44.9848327636719,250,0
"6340515",-113.98702,52.61069,"evaluation_excluded",11.9940414428711,29.9997291564941,21.5497493743896,14.5545835494995,-3.00995826721191,97,71.391487121582,251,0
"6340516",-114.409595,52.5814066,"evaluation_excluded",12.4192495346069,31.2823505401611,21.2437496185303,14.1367082595825,-10.9106254577637,102,70.2901916503906,275,1
"6340517",-117.51832,52.48771,"training",11.9719581604004,34.2165946960449,17.1580009460449,9.18975067138672,-5.98575019836426,89,22.683780670166,256,0
"6340518",-111.76012,53.10329,"testing",11.1598958969116,26.8392543792725,22.3062496185303,15.5130834579468,-12.4629163742065,73,66.8616104125977,205,0
"6340519",-112.14825,53.10505,"testing",11.3691873550415,27.2358283996582,22.5237503051758,15.6165828704834,-12.3531246185303,76,68.1774444580078,208,0
"6340520",-113.1229,53.11978,"testing",11.3854789733887,27.8171234130859,22.0219993591309,15.3149585723877,-11.884708404541,95,65.9555969238281,234,0
"6340521",-110.30494,54.18052,"evaluation_excluded",11.4766874313354,26.1038494110107,22.5284996032715,15.393458366394,-11.5857496261597,79,66.173095703125,216,0
"6340522",-112.8288,54.43414,"evaluation_excluded",11.9641666412354,27.3143577575684,21.7824993133545,14.4234161376953,-13.7628746032715,97,67.0512847900391,248,0
"6340523",-113.91555,54.05083,"evaluation_excluded",11.5953750610352,27.2988109588623,21.9965000152588,15.1138334274292,-12.8020420074463,94,67.7543411254883,243,0
"6340524",-117.03659,54.36335,"training",12.8921461105347,32.9948120117188,21.6397495269775,14.0498752593994,-2.26612520217896,102,64.215576171875,270,1
"6340525",-115.13917,50.6917,"training",11.846791267395,33.9323234558105,17.2507495880127,6.23250007629395,-10.746000289917,101,29.7513942718506,239,0
"6340527",-113.65683,49.26174,"training",13.0046463012695,35.0069541931152,24.277250289917,13.0417919158936,-5.58220815658569,101,45.8120613098145,201,0
"6340528",-114.48967,49.63589,"training",11.4015626907349,32.2144012451172,21.5162506103516,10.1977920532227,-5.95495843887329,85,22.6659755706787,193,0
"6340529",-112.31428,50.16448,"evaluation_excluded",13.3336458206177,32.2518615722656,25.8584995269775,15.403416633606,-7.82958316802979,68,54.5044593811035,142,0
"6340530",-113.39021,50.48464,"evaluation_excluded",13.3588962554932,32.8751411437988,23.7929992675781,13.6624164581299,-8.51420879364014,86,65.5848693847656,184,0
"6340531",-114.2469,50.51364,"evaluation_excluded",13.8468332290649,35.9879989624023,22.4672508239746,11.6762504577637,-6.76837491989136,96,53.8517799377441,214,0
"6340532",-110.19278,51.35788,"evaluation_excluded",13.5679588317871,28.5581111907959,25.5450000762939,16.9473342895508,-11.2049579620361,69,71.7262420654297,160,0
"6340533",-111.51697,51.76553,"testing",13.4167709350586,29.2939395904541,25.2665004730225,16.5455417633057,-4.0644998550415,69,69.9350357055664,179,0
"6340534",-112.33055,51.18333,"evaluation_excluded",13.8301038742065,30.86594581604,25.972749710083,16.9119167327881,-10.8421659469604,68,62.9792823791504,166,0
"6340535",-113.7321,51.4154,"evaluation_excluded",12.9902086257935,32.9249458312988,22.8864994049072,15.0579586029053,-9.22404193878174,79,68.4064788818359,203,0
"6340536",-114.19363,52.65721,"evaluation_excluded",12.3461046218872,31.0918426513672,21.411750793457,14.3255004882812,-10.7192077636719,97,69.8045425415039,265,0
"6340537",-117.34166,52.98463,"training",12.5463752746582,36.4071960449219,16.4347496032715,8.56579208374023,-11.0673332214355,99,38.4293746948242,278,0
"6340538",-111.24257,53.77624,"testing",12.3049373626709,27.7435035705566,22.7912502288818,15.3769998550415,-11.5019998550415,77,65.0683059692383,207,0
"6340540",-113.85339,53.3377,"evaluation_excluded",12.5836877822876,30.2854671478271,22.3929996490479,15.2050828933716,-9.39554119110107,97,67.5833206176758,247,0
"6340541",-114.78773,53.48311,"evaluation_excluded",12.71706199646,30.7610092163086,21.9997501373291,14.6579170227051,-11.1475830078125,106,67.0873565673828,277,0
"6340542",-115.11754,54.03515,"evaluation_excluded",13.4267711639404,30.9089508056641,21.9912509918213,14.4652919769287,-12.6471662521362,109,71.6155166625977,271,0
"6340543",-115.25994,54.999,"training",12.2179794311523,30.009651184082,20.0772495269775,13.200249671936,-10.313458442688,108,68.4710845947266,290,1
